Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Classification,HermiT_Classification,JFact_Classification,Konclude_Classification,Openllet_Classification,Pellet_Classification,KoncludeCLI_Classification
gallen.owl,23136,0,63324,37696,36205,0,1491,0,950,1,OWL2_DL - OWL2_FULL,OWL2_DL,,,,8.904,,,13.386
ochv.owl,115645,0,505642,173501,173475,0,26,1,17,18,OWL2_FULL,OWL2_FULL,1699.3204,28.0231,,0.7761,744.6997,869.3202,10.0265
snmi.owl,109156,109150,998278,490449,109047,381376,26,6,21,21,OWL2_FULL,OWL2_FULL,2105.9773,225.4008,,0.5057,10.8554,9.3518,12.5263
reto.owl,147738,138523,1927495,941797,152173,789624,0,0,12,7,OWL2_FULL,OWL2_FULL,2296.4934,11.5463,,0.6995,3.2355,3.271,19.941
rexo.owl,158239,149084,2043111,997563,162839,834724,0,0,12,7,OWL2_FULL,OWL2_FULL,2768.2004,12.1375,,0.7451,3.4261,3.3403,35.9629
gexo.owl,166254,157102,2143045,1052276,170932,881344,0,0,12,7,OWL2_FULL,OWL2_FULL,3283.479,12.7531,,0.7781,3.4964,3.4573,36.8166
iobc.owl,126847,66923,1929343,316724,182277,134384,63,0,59,30,OWL2_DL - OWL2_FULL,OWL2_DL,,256.4083,,1.8503,165.8287,170.0147,24.5517
rhmesh.owl,305349,0,1654092,432805,432805,0,0,0,1,2,OWL2_FULL,OWL2_FULL,7.7604,23.8594,,2.8774,8.5877,8.155899999999999,31.0698
hoom.xml,117829,1,461823,222011,221980,1,30,2,12,11,OWL2_DL - OWL2_FULL,OWL2_DL,,,,184.3682,,,2.9125
fma.owl,104721,2,791248,296460,296329,2,129,29,139,51,OWL2_DL - OWL2_FULL,OWL2_DL,,,,7.374,,,59.0296
nifstd.xml,157666,130781,1962343,483775,320798,161717,1242,6,833,587,OWL2_FULL,OWL2_FULL,,,,,,,6.0479
upheno.xml,159212,17091,1552159,468679,446500,21697,462,1,341,372,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,6.8961
ncit.owl,169111,0,2850463,234117,234104,0,13,0,97,141,OWL2_FULL,OWL2_FULL,,157.3272,,,202.6867,733.8195,
dron.xml,578206,510104,3498249,1642634,1158027,484583,24,1,20,77,OWL2_DL - OWL2_FULL,OWL2_DL,,,,35.8786,,,9.4143
loinc.owl,268558,268552,7079178,5632197,257534,5374637,26,70,105,21,OWL2_FULL,OWL2_FULL,,1908.5797,,,,,107.5785
chebi.xml,171059,50642,3314948,397690,310133,87554,3,0,10,40,OWL2_DL - OWL2_FULL,OWL2_DL,2439.7772,135.7742,,2.1022,1042.3083,1038.3361,10.3491
MESH.owl,347698,347692,9612820,7289654,40919,7248709,26,28,27,21,OWL2_FULL,OWL2_FULL,,,,,,,122.6744
ncbitaxon.owl,1908229,1908223,17351973,9541037,1908189,7632822,26,3,18,21,OWL2_FULL,OWL2_FULL,,,,,357.1584,271.7886,148.2672
gaz.xml,668839,660755,7801093,2256702,1460125,796571,6,0,15,33,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,1260.3718,,9.9521,,,19.9637
pr.xml,332354,294425,5151763,1426166,1007050,419110,6,0,21,42,OWL2_DL - OWL2_FULL,OWL2_DL,,,,32.657,,,20.0138
cco.xml,264892,255182,9925469,4229990,2249881,1980102,7,0,15,64,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,25.7534
