Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Realization,HermiT_Realization,JFact_Realization,Konclude_Realization,Openllet_Realization,Pellet_Realization,KoncludeCLI_Realization,Factpp_Loading,HermiT_Loading,JFact_Loading,Konclude_Loading,Openllet_Loading,Pellet_Loading,Factpp_Realization_LoadingAdded,HermiT_Realization_LoadingAdded,JFact_Realization_LoadingAdded,Konclude_Realization_LoadingAdded,Openllet_Realization_LoadingAdded,Pellet_Realization_LoadingAdded,KoncludeCLI_Realization_LoadingAdded,Ontology Loading,Factpp_Realization_AllLoadingAdded,HermiT_Realization_AllLoadingAdded,JFact_Realization_AllLoadingAdded,Konclude_Realization_AllLoadingAdded,Openllet_Realization_AllLoadingAdded,Pellet_Realization_AllLoadingAdded,KoncludeCLI_Realization_AllLoadingAdded
gallen.owl,23136,0,63324,37696,36205,0,1491,0,950,1,OWL2_DL - OWL2_FULL,OWL2_DL,,0.00030000000000000003,,9.3707,,,13.7697,0.2822,2.732,0.2503,1.8769,1.1587,0.9282,,2.7323000000000004,,11.247599999999998,,,13.7697,1.9024,,4.6347000000000005,,13.149999999999999,,,13.7697
ochv.owl,115645,0,505642,173501,173475,0,26,1,17,18,OWL2_FULL,OWL2_FULL,1822.6472,0.001,,1.5162,963.3387,832.1246,9.7193,1.1561,3.2611,1.2308,5.2507,2.6604,1.9837,1823.8033,3.2620999999999998,,6.7669,965.9991,834.1083,9.7193,6.1007,1829.904,9.3628,,12.8676,972.0998,840.209,9.7193
snmi.owl,109156,109150,998278,490449,109047,381376,26,6,21,21,OWL2_FULL,OWL2_FULL,1873.3226,1465.8397,,1.1118,10.9804,9.5351,12.8254,3.3935,5.0667,3.0773,15.5143,7.8711,6.8329,1876.7160999999999,1470.9064,,16.6261,18.8515,16.368000000000002,12.8254,15.2945,1892.0105999999998,1486.2009,,31.9206,34.146,31.6625,12.8254
reto.owl,147738,138523,1927495,941797,152173,789624,0,0,12,7,OWL2_FULL,OWL2_FULL,2318.4704,18.5409,,1.5162,3.2838,3.2431,20.7903,5.1971,7.2469,4.3503,27.5785,10.9453,9.2846,2323.6675,25.7878,,29.0947,14.229099999999999,12.5277,20.7903,16.857,2340.5245,42.644800000000004,,45.9517,31.0861,29.3847,20.7903
rexo.owl,158239,149084,2043111,997563,162839,834724,0,0,12,7,OWL2_FULL,OWL2_FULL,2537.5354,20.1902,,1.6222,3.4755,3.3543,36.6366,5.3123000000000005,7.8052,5.1625,29.0946,11.6621,10.1518,2542.8477000000003,27.9954,,30.7168,15.1376,13.5061,36.6366,17.9238,2560.7715000000003,45.919200000000004,,48.6406,33.0614,31.4299,36.6366
gexo.owl,166254,157102,2143045,1052276,170932,881344,0,0,12,7,OWL2_FULL,OWL2_FULL,2890.1311,19.8306,,1.6937,3.5512,3.5897,37.6571,5.8701,8.2493,5.3315,31.0443,12.319,10.6374,2896.0012,28.079900000000002,,32.738,15.8702,14.2271,37.6571,18.8564,2914.8576000000003,46.9363,,51.5944,34.726600000000005,33.0835,37.6571
iobc.owl,126847,66923,1929343,316724,182277,134384,63,0,59,30,OWL2_DL - OWL2_FULL,OWL2_DL,,1216.4435,,2.5334,173.8074,172.9724,24.2175,2.357,4.2941,2.9748,9.3539,4.8332,4.773,,1220.7376000000002,,11.8873,178.6406,177.7454,24.2175,17.8502,,1238.5878000000002,,29.7375,196.4908,195.5956,24.2175
rhmesh.owl,305349,0,1654092,432805,432805,0,0,0,1,2,OWL2_FULL,OWL2_FULL,7.1301,0.0005,,4.7233,8.7143,8.2704,29.4762,3.3504,8.205,3.6376,10.9328,7.577,6.4454,10.4805,8.2055,,15.6561,16.2913,14.715800000000002,29.4762,18.9571,29.4376,27.1626,,34.6132,35.248400000000004,33.6729,29.4762
hoom.xml,117829,1,461823,222011,221980,1,30,2,12,11,OWL2_DL - OWL2_FULL,OWL2_DL,,,,164.2287,,,2.9152,12.1493,22.3497,1.8835,23.4341,5.678,4.8775,,,,187.6628,,,2.9152,17.8347,,,,205.4975,,,2.9152
fma.owl,104721,2,791248,296460,296329,2,129,29,139,51,OWL2_DL - OWL2_FULL,OWL2_DL,,,,7.6767,,,58.9893,1.813,11.7183,1.4588,11.7216,1721.5037,1726.7027,,,,19.3983,,,58.9893,21.7194,,,,41.1177,,,58.9893
nifstd.xml,157666,130781,1962343,483775,320798,161717,1242,6,833,587,OWL2_FULL,OWL2_FULL,,,,,,,6.053,,,4.4061,25.9896,11.7469,,,,,,,,6.053,34.8412,,,,,,,6.053
upheno.xml,159212,17091,1552159,468679,446500,21697,462,1,341,372,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,6.8999,3.5917,,3.1846,119.0712,11.4419,13.8145,,,,,,,6.8999,36.4951,,,,,,,6.8999
ncit.owl,169111,0,2850463,234117,234104,0,13,0,97,141,OWL2_FULL,OWL2_FULL,,0.001,,,215.8511,,,,16.4817,2.9551,,5.9395,5.9913,,16.4827,,,221.7906,,,60.1554,,76.63810000000001,,,281.946,,
dron.xml,578206,510104,3498249,1642634,1158027,484583,24,1,20,77,OWL2_DL - OWL2_FULL,OWL2_DL,,,,39.1338,,,9.4193,14.8237,32.3642,17.261,63.3459,37.3065,27.1236,,,,102.47970000000001,,,9.4193,54.5973,,,,157.077,,,9.4193
loinc.owl,268558,268552,7079178,5632197,257534,5374637,26,70,105,21,OWL2_FULL,OWL2_FULL,,,,,,,109.189,,34.1425,16.458,,446.0363,,,,,,,,109.189,99.2651,,,,,,,109.189
chebi.xml,171059,50642,3314948,397690,310133,87554,3,0,10,40,OWL2_DL - OWL2_FULL,OWL2_DL,2286.3683,152.3998,,2.963,837.4417,1152.2098,10.3578,2.7034,6.1365,3.4434,12.7995,8.0009,8.0402,2289.0717,158.5363,,15.7625,845.4426,1160.25,10.3578,47.2431,2336.3148,205.7794,,63.0056,892.6857,1207.4931,10.3578
MESH.owl,347698,347692,9612820,7289654,40919,7248709,26,28,27,21,OWL2_FULL,OWL2_FULL,,,,,,,124.6795,,47.7273,19.57,,653.9807000000001,,,,,,,,124.6795,133.1235,,,,,,,124.6795
ncbitaxon.owl,1908229,1908223,17351973,9541037,1908189,7632822,26,3,18,21,OWL2_FULL,OWL2_FULL,,,,,343.0202,282.0597,159.213,89.4015,121.5299,76.5753,,211.5818,186.0945,,,,,554.602,468.15420000000006,159.213,300.177,,,,,854.779,768.3312000000001,159.213
gaz.xml,668839,660755,7801093,2256702,1460125,796571,6,0,15,33,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,13.8071,,,19.9441,16.9477,33.1419,22.5089,71.2731,48.4908,37.4463,,,,85.0802,,,19.9441,103.2973,,,,188.3775,,,19.9441
pr.xml,332354,294425,5151763,1426166,1007050,419110,6,0,21,42,OWL2_DL - OWL2_FULL,OWL2_DL,,,,24.1066,,,19.9806,9.9853,28.4609,11.3583,55.8934,22.3783,19.6906,,,,80.0,,,19.9806,101.403,,,,181.40300000000002,,,19.9806
cco.xml,264892,255182,9925469,4229990,2249881,1980102,7,0,15,64,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,25.7453,21.9074,39.9362,14.5281,,107.5267,103.4193,,,,,,,25.7453,123.0073,,,,,,,25.7453
